=== Google Apps Script Projects ===
[1] 주말 경제 뉴스 생성 | ID: 1kgp-qF7pwekx_VZ_1kVZ4XMbNZGYbL_FlXOJI6E8UeUeoiCRQoE7Gtes | Modified: 2026-06-03T12:53:49.577Z
[25] SCT Auditing Pending Reports | ID: 1nkCHkUFMyTWXSjFwFVUbm1sM5XIei4nf | Mime: application/octet-stream | Modified: 2026-05-27T04:00:09.703Z
[26] reports | ID: 1aPVJVP_pfwXvLuUD8wuZpv0A-Tydz8cR | Mime: application/vnd.google-apps.folder | Modified: 2026-05-27T04:00:06.517Z
[27] 2026-05-26_Macro_Professional_Report | ID: 1KFXYauvEUMKOylugK5RgW99QPKlV5GGfyoi_k7L8ASc | Mime: application/vnd.google-apps.document | Modified: 2026-05-26T07:45:42.216Z
[28] excel_inspection_report.txt | ID: 1QX8JJKgi8_G570WYKo9f6ppfRJmShc04 | Mime: text/plain | Modified: 2026-05-26T05:45:31.493Z
[29] calendar_events_report.txt | ID: 1YL9T3gbqwxLoedQotMwmhQbipwM80eoK | Mime: text/plain | Modified: 2026-05-26T05:45:16.947Z
[30] 2026-05-25_Macro_Professional_Report | ID: 1kqHVn1xW_l4fUDRR_7PrZvWMGR6XSBhig6x8V2WolvM | Mime: application/vnd.google-apps.document | Modified: 2026-05-25T12:47:08.524Z
[31] backtest_report.xlsx | ID: 13aNx18gcggMoW342XiLYe-V-kUY5uReC | Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet | Modified: 2026-05-23T16:04:59.535Z
[32] 2026-05-22_Macro_Professional_Report | ID: 1b1X-OKOvK_bgMy3dooWfcfbZ-Iru0uw53g0TqFtiPOE | Mime: application/vnd.google-apps.document | Modified: 2026-05-22T06:06:01.109Z
[33] 2025학년도 1학기 평가계획서(3학년 경제수학).pdf | ID: 1Wbf-QcWO4RYfYQD19DAf9Vo6XgjXbGZ6 | Mime: application/pdf | Modified: 2026-05-22T04:56:16.258Z
[34] 2025학년도 1학기 평가계획서(3학년 경제).pdf | ID: 1TbyLSypMXbkWli9TN8QfWiONq5hq8sTz | Mime: application/pdf | Modified: 2026-05-22T04:56:13.829Z
